Execution number, image name, Provider name, Response Time (in seconds), Hausdorff Distance (in pixels), Precision (in per cents), Image Size (in KBs), Image Format
1Âº, BioID_0011.jpg, FaceRect, 3.670016, 113.71895, error - archivo incorrecto para Precision, 21.817383, jpg
1Âº, BioID_0012.jpg, FaceRect, 1.862271, 118.680244, error - archivo incorrecto para Precision, 21.493164, jpg
1Âº, BioID_0013.jpg, FaceRect, 2.0216546, 105.702415, error - archivo incorrecto para Precision, 21.993164, jpg
1Âº, BioID_0014.jpg, FaceRect, 2.386559, 267.71066, error - archivo incorrecto para Precision, 21.920898, jpg
1Âº, BioID_0015.jpg, FaceRect, 2.2103982, 264.57892, error - archivo incorrecto para Precision, 21.816406, jpg
1Âº, BioID_0016.jpg, FaceRect, 1.5896412, 121.65525, error - archivo incorrecto para Precision, 18.302734, jpg
1Âº, BioID_0017.jpg, FaceRect, 2.3278387, 119.40687, error - archivo incorrecto para Precision, 18.594727, jpg
1Âº, BioID_0018.jpg, FaceRect, 1.8287165, 125.39936, error - archivo incorrecto para Precision, 22.86621, jpg
1Âº, BioID_0019.jpg, FaceRect, 1.95874, 107.07007, error - archivo incorrecto para Precision, 24.311523, jpg
1Âº, BioID_0020.jpg, FaceRect, 1.4302577, 104.62313, error - archivo incorrecto para Precision, 24.569336, jpg
1Âº, BioID_0021.jpg, FaceRect, 1.7783849, 110.45361, error - archivo incorrecto para Precision, 24.835938, jpg
1Âº, BioID_0022.jpg, FaceRect, 1.9293798, 114.05701, error - archivo incorrecto para Precision, 24.807617, jpg
1Âº, BioID_0023.jpg, FaceRect, 2.1139293, 106.174385, error - archivo incorrecto para Precision, 25.745117, jpg
1Âº, BioID_0024.jpg, FaceRect, 1.2708741, 115.965515, error - archivo incorrecto para Precision, 25.074219, jpg
1Âº, BioID_0025.jpg, FaceRect, 1.7616076, 144.3087, error - archivo incorrecto para Precision, 14.457031, jpg
1Âº, BioID_0026.jpg, FaceRect, 0.9395241, 115.1043, error - archivo incorrecto para Precision, 15.537109, jpg
1Âº, BioID_0027.jpg, FaceRect, 1.5099494, 106.02358, error - archivo incorrecto para Precision, 17.082031, jpg
1Âº, BioID_0028.jpg, FaceRect, 1.1702108, 110.63905, error - archivo incorrecto para Precision, 16.546875, jpg
1Âº, BioID_0029.jpg, FaceRect, 1.5183381, 110.01818, error - archivo incorrecto para Precision, 16.63086, jpg
1Âº, BioID_0030.jpg, FaceRect, 1.4092861, 110.47624, error - archivo incorrecto para Precision, 16.469727, jpg
1Âº, BioID_0031.jpg, FaceRect, 1.5896412, 111.41364, error - archivo incorrecto para Precision, 16.368164, jpg
1Âº, BioID_0032.jpg, FaceRect, 2.0594032, 106.32967, error - archivo incorrecto para Precision, 16.195313, jpg
1Âº, BioID_0033.jpg, FaceRect, 1.3883146, 120.22063, error - archivo incorrecto para Precision, 15.928711, jpg
1Âº, BioID_0034.jpg, FaceRect, 0.97307855, 118.511604, error - archivo incorrecto para Precision, 15.719727, jpg
1Âº, BioID_0035.jpg, FaceRect, 1.0108273, 113.74094, error - archivo incorrecto para Precision, 15.762695, jpg
1Âº, BioID_0036.jpg, FaceRect, 0.95630133, 121.24768, error - archivo incorrecto para Precision, 15.116211, jpg
1Âº, BioID_0037.jpg, FaceRect, 1.0611589, 120.41595, error - archivo incorrecto para Precision, 15.091797, jpg
1Âº, BioID_0038.jpg, FaceRect, 1.5518925, 107.042046, error - archivo incorrecto para Precision, 15.859375, jpg
1Âº, BioID_0039.jpg, FaceRect, 1.1408507, 109.60383, error - archivo incorrecto para Precision, 15.810547, jpg
1Âº, BioID_0040.jpg, FaceRect, 2.1181235, 259.62473, error - archivo incorrecto para Precision, 15.34082, jpg
1Âº, BioID_0041.jpg, FaceRect, 1.0779362, 117.13667, error - archivo incorrecto para Precision, 15.602539, jpg
1Âº, BioID_0042.jpg, FaceRect, 0.9395241, 257.94766, error - archivo incorrecto para Precision, 15.364258, jpg
1Âº, BioID_0043.jpg, FaceRect, 1.2289311, 122.44999, error - archivo incorrecto para Precision, 15.910156, jpg
1Âº, BioID_0044.jpg, FaceRect, 1.4596177, 123.709335, error - archivo incorrecto para Precision, 14.995117, jpg
1Âº, BioID_0045.jpg, FaceRect, 1.337983, 126.751724, error - archivo incorrecto para Precision, 14.691406, jpg
1Âº, BioID_0046.jpg, FaceRect, 1.3002342, 263.18054, error - archivo incorrecto para Precision, 16.53711, jpg
1Âº, BioID_0047.jpg, FaceRect, 1.2499026, 227.84424, error - archivo incorrecto para Precision, 17.785156, jpg
1Âº, BioID_0048.jpg, FaceRect, 2.1978152, 133.95895, error - archivo incorrecto para Precision, 17.453125, jpg
1Âº, BioID_0049.jpg, FaceRect, 1.4889779, 130.04999, error - archivo incorrecto para Precision, 17.314453, jpg
1Âº, BioID_0050.jpg, FaceRect, 2.0510147, 116.38728, error - archivo incorrecto para Precision, 22.249023, jpg
1Âº, BioID_0051.jpg, FaceRect, 2.0803747, 150.86418, error - archivo incorrecto para Precision, 22.047852, jpg
1Âº, BioID_0052.jpg, FaceRect, 1.5476981, 116.48176, error - archivo incorrecto para Precision, 22.344727, jpg
1Âº, BioID_0053.jpg, FaceRect, 2.2229812, error - no se encontraron caras en la imagen, error - no se encontraron caras en la imagen, 23.060547, jpg
1Âº, BioID_0054.jpg, FaceRect, 1.9000198, error - no se encontraron caras en la imagen, error - no se encontraron caras en la imagen, 23.248047, jpg
1Âº, BioID_0055.jpg, FaceRect, 1.4176748, 250.14595, error - archivo incorrecto para Precision, 20.226563, jpg
1Âº, BioID_0056.jpg, FaceRect, 2.1307065, 109.201645, error - archivo incorrecto para Precision, 19.010742, jpg
1Âº, BioID_0057.jpg, FaceRect, 1.9713229, 107.563934, error - archivo incorrecto para Precision, 20.30371, jpg
1Âº, BioID_0058.jpg, FaceRect, 2.2103982, 115.952576, error - archivo incorrecto para Precision, 20.613281, jpg
1Âº, BioID_0059.jpg, FaceRect, 1.379926, error - no se encontraron caras en la imagen, error - no se encontraron caras en la imagen, 21.139648, jpg
1Âº, BioID_0060.jpg, FaceRect, 1.9377685, error - no se encontraron caras en la imagen, error - no se encontraron caras en la imagen, 21.017578, jpg
1Âº, BioID_0061.jpg, FaceRect, 2.2565355, error - no se encontraron caras en la imagen, error - no se encontraron caras en la imagen, 20.74414, jpg
1Âº, BioID_0062.jpg, FaceRect, 1.5225323, 121.75796, error - archivo incorrecto para Precision, 19.97461, jpg
1Âº, BioID_0063.jpg, FaceRect, 1.7280532, 252.93675, error - archivo incorrecto para Precision, 20.560547, jpg
1Âº, BioID_0064.jpg, FaceRect, 1.669333, 114.49017, error - archivo incorrecto para Precision, 20.063477, jpg
1Âº, BioID_0065.jpg, FaceRect, 2.000683, 109.48059, error - archivo incorrecto para Precision, 20.195313, jpg
1Âº, BioID_0066.jpg, FaceRect, 1.1198791, 120.20815, error - archivo incorrecto para Precision, 20.341797, jpg
1Âº, BioID_0067.jpg, FaceRect, 1.560281, 117.64353, error - archivo incorrecto para Precision, 20.948242, jpg
1Âº, BioID_0068.jpg, FaceRect, 1.8916311, 108.24047, error - archivo incorrecto para Precision, 21.054688, jpg
1Âº, BioID_0069.jpg, FaceRect, 1.4302577, 254.80385, error - archivo incorrecto para Precision, 21.067383, jpg
1Âº, BioID_0070.jpg, FaceRect, 2.0300431, 275.6175, error - archivo incorrecto para Precision, 21.001953, jpg
